season,week,cutline_type,key,raw_cutline,shrunk_cutline,base_cutline
2021,1,slot,FLEX,10.1,9.42,8.4
2021,1,slot,SF,18.0,15.195,12.39
2021,1,position,QB,18.0,14.9145,12.39
2021,1,position,RB,10.3,9.602500000000001,8.75
2021,1,position,WR,10.1,9.47,8.7
2021,1,position,TE,9.2,8.719999999999999,8.4
2021,2,slot,QB,21.8,20.92,20.200000000000003
2021,2,slot,RB,10.0,10.787500000000001,11.75
2021,2,slot,WR,13.0,11.92,10.6
2021,2,slot,TE,9.0,9.27,9.45
2021,2,slot,FLEX,9.4,9.0,8.4
2021,2,slot,SF,16.5,14.445,12.39
2021,2,position,QB,16.5,14.2395,12.39
2021,2,position,RB,9.6,9.217500000000001,8.75
2021,2,position,WR,9.4,9.085,8.7
2021,2,position,TE,9.0,8.64,8.4
2021,3,slot,QB,20.880000000000003,20.506000000000004,20.200000000000003
2021,3,slot,RB,14.6,13.317500000000003,11.75
2021,3,slot,WR,11.2,10.93,10.6
2021,3,slot,TE,10.2,9.75,9.45
2021,3,slot,FLEX,9.2,8.879999999999999,8.4
2021,3,slot,SF,16.54,14.465,12.39
2021,3,position,QB,16.54,14.2575,12.39
2021,3,position,RB,9.4,9.107500000000002,8.75
2021,3,position,WR,9.2,8.975,8.7
2021,3,position,TE,9.2,8.719999999999999,8.4
2021,4,slot,QB,22.56,21.262,20.200000000000003
2021,4,slot,RB,14.0,12.9875,11.75
2021,4,slot,WR,10.7,10.655,10.6
2021,4,slot,TE,13.6,11.11,9.45
2021,4,slot,FLEX,9.5,9.06,8.4
2021,4,slot,SF,17.680000000000003,15.035000000000002,12.39
2021,4,position,QB,17.680000000000003,14.770500000000002,12.39
2021,4,position,RB,9.6,9.217500000000001,8.75
2021,4,position,WR,9.5,9.14,8.7
2021,4,position,TE,11.2,9.52,8.4
2021,5,slot,QB,21.72,20.884,20.200000000000003
2021,5,slot,RB,15.4,13.7575,11.75
2021,5,slot,WR,10.5,10.545,10.6
2021,5,slot,TE,8.4,9.03,9.45
2021,5,slot,FLEX,9.3,8.940000000000001,8.4
2021,5,slot,SF,14.58,13.485,12.39
2021,5,position,QB,14.58,13.375499999999999,12.39
2021,5,position,RB,9.8,9.3275,8.75
2021,5,position,WR,9.3,9.030000000000001,8.7
2021,5,position,TE,8.4,8.4,8.4
2021,6,slot,QB,21.54,20.803,20.200000000000003
2021,6,slot,RB,13.7,12.822500000000002,11.75
2021,6,slot,WR,10.3,10.435,10.6
2021,6,slot,TE,10.4,9.829999999999998,9.45
2021,6,slot,FLEX,8.4,8.4,8.4
2021,6,slot,SF,12.16,12.275,12.39
