player,team,position,current_salary,real_salary,years_remaining,cap_today_current,cap_y0,cap_y1,cap_y2,cap_y3,pv_cap,dead_money_cut_now_nominal,dead_money_cut_now_pv,schedule_source,needs_schedule_validation
Adonai Mitchell,Kermit,WR,2.0,2.0,2,2.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Troy Franklin,Kermit,WR,1.0,4.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,standard_rule,False
Ben Sinnott,Kermit,TE,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,standard_rule,False
Pat Bryant,Kermit,WR,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
DJ Giddens,Kermit,RB,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Jordan Love,Grayson  | Bargain Bin,QB,10.0,10.0,1,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,standard_rule,False
Jonathan Taylor,Grayson  | Bargain Bin,RB,22.0,22.0,1,22.0,22.0,0.0,0.0,0.0,22.0,22.0,22.0,standard_rule,False
Chase Brown,Grayson  | Bargain Bin,RB,54.0,54.0,2,54.0,54.0,60.0,0.0,0.0,102.0,69.0,66.0,standard_rule,False
Tee Higgins,Grayson  | Bargain Bin,WR,27.0,27.0,1,27.0,27.0,0.0,0.0,0.0,27.0,27.0,27.0,standard_rule,False
Drake London,Grayson  | Bargain Bin,WR,39.0,39.0,2,39.0,39.0,43.0,0.0,0.0,73.4,50.0,47.8,standard_rule,False
Wan'Dale Robinson,Grayson  | Bargain Bin,WR,3.0,3.0,2,3.0,3.0,4.0,0.0,0.0,6.2,4.0,3.8,standard_rule,False
Isaiah Likely,Grayson  | Bargain Bin,TE,4.0,4.0,3,4.0,4.0,5.0,6.0,0.0,11.84,7.0,6.4,standard_rule,False
Davante Adams,Grayson  | Bargain Bin,WR,27.0,27.0,3,27.0,27.0,30.0,33.0,0.0,72.12,42.0,39.0,best_effort_instrument,True
Travis Etienne Jr.,Grayson  | Bargain Bin,RB,11.0,11.0,1,11.0,11.0,0.0,0.0,0.0,11.0,11.0,11.0,standard_rule,False
Daniel Jones,Grayson  | Bargain Bin,QB,2.0,2.0,1,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
Kyle Monangai,Grayson  | Bargain Bin,RB,8.0,8.0,1,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,standard_rule,False
Kyler Murray,Grayson  | Bargain Bin,QB,21.0,21.0,2,21.0,21.0,24.0,0.0,0.0,40.2,27.0,25.8,best_effort_instrument,True
Malik Washington,Grayson  | Bargain Bin,WR,2.0,2.0,1,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
Xavier Worthy,Grayson  | Bargain Bin,WR,10.0,10.0,1,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,standard_rule,False
Will Howard,Grayson  | Bargain Bin,QB,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Jermaine Burton,Grayson  | Bargain Bin,WR,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
Audric Estimé,Grayson  | Bargain Bin,RB,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,standard_rule,False
Jalen Hurts,Turner | Banana Breath,QB,61.0,61.0,1,61.0,61.0,0.0,0.0,0.0,61.0,61.0,61.0,best_effort_instrument,True
Ashton Jeanty,Turner | Banana Breath,RB,16.0,16.0,2,16.0,16.0,18.0,0.0,0.0,30.4,21.0,20.0,standard_rule,False
Derrick Henry,Turner | Banana Breath,RB,46.0,46.0,2,46.0,46.0,51.0,0.0,0.0,86.8,59.0,56.4,best_effort_instrument,True
Ladd McConkey,Turner | Banana Breath,WR,6.0,6.0,1,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,standard_rule,False
Courtland Sutton,Turner | Banana Breath,WR,5.0,5.0,1,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,standard_rule,False
Brock Bowers,Turner | Banana Breath,TE,10.0,10.0,1,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,standard_rule,False
Quinshon Judkins,Turner | Banana Breath,RB,11.0,11.0,2,11.0,11.0,13.0,0.0,0.0,21.4,15.0,14.2,standard_rule,False
Patrick Mahomes,Turner | Banana Breath,QB,47.0,47.0,1,47.0,47.0,0.0,0.0,0.0,47.0,47.0,47.0,standard_rule,False
Travis Hunter,Turner | Banana Breath,WR,14.0,14.0,2,14.0,14.0,16.0,0.0,0.0,26.8,18.0,17.2,standard_rule,False
Jacory Croskey-Merritt,Turner | Banana Breath,RB,2.0,2.0,2,2.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Zach Charbonnet,Turner | Banana Breath,RB,6.0,6.0,3,6.0,6.0,7.0,8.0,0.0,16.72,10.0,9.2,best_effort_instrument,True
Dalton Kincaid,Turner | Banana Breath,TE,4.0,4.0,2,4.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,best_effort_instrument,True
Michael Penix Jr.,Turner | Banana Breath,QB,5.0,5.0,1,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,standard_rule,False
RJ Harvey,Turner | Banana Breath,RB,9.0,9.0,2,9.0,9.0,10.0,0.0,0.0,17.0,12.0,11.4,standard_rule,False
J.J. McCarthy,Turner | Banana Breath,QB,2.0,8.0,1,2.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,standard_rule,False
Jared Goff,Slow Striders,QB,11.0,11.0,3,11.0,11.0,15.0,17.0,0.0,33.88,18.0,16.6,best_effort_instrument,True
De'Von Achane,Slow Striders,RB,50.0,50.0,2,50.0,50.0,56.0,0.0,0.0,94.8,64.0,61.2,standard_rule,False
Puka Nacua,Slow Striders,WR,40.0,40.0,2,40.0,40.0,44.0,0.0,0.0,75.2,51.0,48.8,best_effort_instrument,True
Chris Godwin,Slow Striders,WR,15.0,15.0,1,15.0,15.0,0.0,0.0,0.0,15.0,15.0,15.0,standard_rule,False
Tyler Warren,Slow Striders,TE,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
D'Andre Swift,Slow Striders,RB,7.0,7.0,1,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,standard_rule,False
Dak Prescott,Slow Striders,QB,16.0,16.0,2,16.0,16.0,18.0,0.0,0.0,30.4,21.0,20.0,standard_rule,False
Brandon Aiyuk,Slow Striders,WR,15.0,15.0,1,15.0,15.0,0.0,0.0,0.0,15.0,15.0,15.0,standard_rule,False
Zay Flowers,Slow Striders,WR,11.0,11.0,2,11.0,11.0,13.0,0.0,0.0,21.4,15.0,14.2,best_effort_instrument,True
Isaac Guerendo,Slow Striders,RB,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,standard_rule,False
Ray Davis,Slow Striders,RB,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
Cam Ward,Slow Striders,QB,3.0,10.0,2,3.0,10.0,11.0,0.0,0.0,18.8,13.0,12.4,standard_rule,False
Jalen Milroe,Slow Striders,QB,1.0,4.0,2,1.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
Savion Williams,Slow Striders,WR,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Jaxson Dart,BG | 2 Rice 2 Addison,QB,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
TreVeyon Henderson,BG | 2 Rice 2 Addison,RB,11.0,11.0,2,11.0,11.0,13.0,0.0,0.0,21.4,15.0,14.2,standard_rule,False
