player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,pv_tv,tv_source
CeeDee Lamb,Mike Vick In A Box,WR,80.643507239283,80.643507239283,80.643507239283,80.643507239283,238.0596333703634,explicit_path
Chris Olave,Mike Vick In A Box,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,158.1663213255287,explicit_path
DeMario Douglas,Mike Vick In A Box,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
DeVonta Smith,Mike Vick In A Box,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,74.94861151446204,explicit_path
George Pickens,Mike Vick In A Box,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,158.1663213255287,explicit_path
Jordan Addison,Mike Vick In A Box,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,14.280199941857822,explicit_path
Marvin Harrison Jr.,Mike Vick In A Box,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,38.32308998951575,explicit_path
Cam Ward,Slow Striders,QB,25.24237125292212,25.24237125292212,25.24237125292212,25.24237125292212,74.5154799386261,explicit_path
Dak Prescott,Slow Striders,QB,56.68264731545074,56.68264731545074,56.68264731545074,56.68264731545074,167.32717487521057,explicit_path
Jared Goff,Slow Striders,QB,46.66954570915117,46.66954570915117,46.66954570915117,46.66954570915117,137.76849893341426,explicit_path
D'Andre Swift,Slow Striders,RB,21.420335361786737,21.420335361786737,21.420335361786737,21.420335361786737,63.23282998799445,explicit_path
De'Von Achane,Slow Striders,RB,67.07794670178978,67.07794670178978,67.07794670178978,67.07794670178978,198.01409866368346,explicit_path
Isaac Guerendo,Slow Striders,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Ray Davis,Slow Striders,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Tyler Warren,Slow Striders,TE,0.9390487130852176,0.9390487130852176,0.9390487130852176,0.9390487130852176,2.7720718010275625,explicit_path
Brandon Aiyuk,Slow Striders,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,5.117365678515041,explicit_path
Chris Godwin,Slow Striders,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,38.32308998951575,explicit_path
Puka Nacua,Slow Striders,WR,89.44631446015306,89.44631446015306,89.44631446015306,89.44631446015306,264.0455202863718,explicit_path
Savion Williams,Slow Striders,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Zay Flowers,Slow Striders,WR,36.501704710147656,36.501704710147656,36.501704710147656,36.501704710147656,107.75303230435588,explicit_path
Drake Maye,That One Egg Was 40 Yards,QB,108.28203345972584,108.28203345972584,108.28203345972584,108.28203345972584,319.6485627731107,explicit_path
Jayden Daniels,That One Egg Was 40 Yards,QB,91.90496394232024,91.90496394232024,91.90496394232024,91.90496394232024,271.30345355772937,explicit_path
Bijan Robinson,That One Egg Was 40 Yards,RB,111.71163377244991,111.71163377244991,111.71163377244991,111.71163377244991,329.7727428962721,explicit_path
James Cook,That One Egg Was 40 Yards,RB,67.07794670178978,67.07794670178978,67.07794670178978,67.07794670178978,198.01409866368346,explicit_path
Tahj Brooks,That One Egg Was 40 Yards,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Trey Benson,That One Egg Was 40 Yards,RB,4.799586798979035,4.799586798979035,4.799586798979035,4.799586798979035,14.16838023058611,explicit_path
Elijah Arroyo,That One Egg Was 40 Yards,TE,-9.877791010161058,-9.877791010161058,-9.877791010161058,-9.877791010161058,-29.159239061995443,explicit_path
Mason Taylor,That One Egg Was 40 Yards,TE,-9.877791010161058,-9.877791010161058,-9.877791010161058,-9.877791010161058,-29.159239061995443,explicit_path
