player,team,position,year_index,cap_hit_real,cap_hit_current,schedule_source,needs_schedule_validation
Puka Nacua,Slow Striders,WR,1,44.0,,best_effort_instrument,True
Chris Godwin,Slow Striders,WR,0,15.0,15.0,standard_rule,False
Tyler Warren,Slow Striders,TE,0,5.0,5.0,standard_rule,False
Tyler Warren,Slow Striders,TE,1,6.0,,standard_rule,False
D'Andre Swift,Slow Striders,RB,0,7.0,7.0,standard_rule,False
Dak Prescott,Slow Striders,QB,0,16.0,16.0,standard_rule,False
Dak Prescott,Slow Striders,QB,1,18.0,,standard_rule,False
Brandon Aiyuk,Slow Striders,WR,0,15.0,15.0,standard_rule,False
Zay Flowers,Slow Striders,WR,0,11.0,11.0,best_effort_instrument,True
Zay Flowers,Slow Striders,WR,1,13.0,,best_effort_instrument,True
Isaac Guerendo,Slow Striders,RB,0,1.0,1.0,standard_rule,False
Ray Davis,Slow Striders,RB,0,2.0,1.0,standard_rule,False
Cam Ward,Slow Striders,QB,0,10.0,3.0,standard_rule,False
Cam Ward,Slow Striders,QB,1,11.0,,standard_rule,False
Jalen Milroe,Slow Striders,QB,0,4.0,1.0,standard_rule,False
Jalen Milroe,Slow Striders,QB,1,5.0,,standard_rule,False
Savion Williams,Slow Striders,WR,0,1.0,1.0,standard_rule,False
Savion Williams,Slow Striders,WR,1,2.0,,standard_rule,False
Jaxson Dart,BG | 2 Rice 2 Addison,QB,0,5.0,5.0,standard_rule,False
Jaxson Dart,BG | 2 Rice 2 Addison,QB,1,6.0,,standard_rule,False
TreVeyon Henderson,BG | 2 Rice 2 Addison,RB,0,11.0,11.0,standard_rule,False
TreVeyon Henderson,BG | 2 Rice 2 Addison,RB,1,13.0,,standard_rule,False
Breece Hall,BG | 2 Rice 2 Addison,RB,0,25.0,25.0,standard_rule,False
Rashee Rice,BG | 2 Rice 2 Addison,WR,0,21.0,21.0,standard_rule,False
Tetairoa McMillan,BG | 2 Rice 2 Addison,WR,0,9.0,9.0,standard_rule,False
Tetairoa McMillan,BG | 2 Rice 2 Addison,WR,1,10.0,,standard_rule,False
