player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,adp,rsv_hat,rsv_p25,rsv_p50,rsv_p75,rankings_player,nfl_team,matched_rankings,is_rostered,tv_input_source,ranking_source,gsis_id,_season
Luther Burden III,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,67,25.389096041484432,5.584615752777424,21.406259285994224,46.951624389102506,Luther Burden III,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040735,2026
Rashee Rice,BG | 2 Rice 2 Addison,WR,40.9862365841931,40.9862365841931,40.9862365841931,40.9862365841931,42,40.9862365841931,14.13494474346837,33.313121073644375,54.82680919242569,Rashee Rice,KC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039067,2026
Ricky Pearsall,BG | 2 Rice 2 Addison,WR,5.184181422414308,5.184181422414308,5.184181422414308,5.184181422414308,109,5.184181422414308,-9.814217067053345,-1.8897703736923193,9.27888243064099,Ricky Pearsall,SF,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039916,2026
Tetairoa McMillan,BG | 2 Rice 2 Addison,WR,40.9862365841931,40.9862365841931,40.9862365841931,40.9862365841931,46,40.9862365841931,13.284032988142474,32.67994487207794,55.29111261205063,Tetairoa McMillan,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040124,2026
Joe Burrow,Box of Broken Toys,QB,108.28203345972585,108.28203345972585,108.28203345972585,108.28203345972585,4,108.28203345972585,60.9235621174074,104.17833921307998,144.53932451558524,Joe Burrow,CIN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036442,2026
Cam Skattebo,Box of Broken Toys,RB,21.420335361786737,21.420335361786737,21.420335361786737,21.420335361786737,75,21.420335361786737,2.501257320786131,13.982403554309897,35.971394572008144,Cam Skattebo,NYG,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040715,2026
Dylan Sampson,Box of Broken Toys,RB,6.2284550304254624,6.2284550304254624,6.2284550304254624,6.2284550304254624,144,6.2284550304254624,-5.28534417874122,-1.6564239937351681,9.602652068518152,Dylan Sampson,CLE,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040162,2026
Isiah Pacheco,Box of Broken Toys,RB,4.799586798979035,4.799586798979035,4.799586798979035,4.799586798979035,154,4.799586798979035,-3.5898506470784115,-0.4249403444865463,6.922033673397035,Isiah Pacheco,DET,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037197,2026
Jordan James,Box of Broken Toys,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,276,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Jordan James,SF,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040177,2026
Dallas Goedert,Box of Broken Toys,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,143,0.9390487130852175,-7.0626685824418125,-1.0834647301597213,7.659248904789339,Dallas Goedert,PHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0034351,2026
